,Status,Life expectancy ,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Total expenditure, HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Adult Mortality,Polio,Diphtheria
13,Developing,56.2,88,0.01,16.88735091,64.0,2486,13.0,122,7.76,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2,292.3,36.0,36.0
14,Developing,55.3,88,0.01,10.5747282,63.0,8762,12.6,122,7.8,0.1,117.49698000000001,2966463.0,2.1,2.4,0.34,5.9,307.2,35.0,33.0
15,Developing,54.8,88,0.01,10.42496,62.0,6532,12.2,122,8.2,0.1,114.56,293756.0,2.3,2.5,0.33799999999999997,5.5,316.0,24.0,24.0
16,Developing,77.8,0,4.6,364.9752287,99.0,0,58.0,0,6.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,92.24,99.0,99.0
17,Developing,77.5,0,4.51,428.74906680000004,98.0,0,57.2,1,5.88,0.1,4575.763787,288914.0,1.2,1.3,0.7609999999999999,14.2,98.32,98.0,98.0
18,Developing,77.2,0,4.76,430.8769785,99.0,0,56.5,1,5.66,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,100.3,99.0,99.0
19,Developing,76.9,0,5.14,412.4433563,99.0,9,55.8,1,5.59,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,103.2,99.0,99.0
20,Developing,76.6,0,5.37,437.0621,99.0,28,55.1,1,5.71,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,103.2,99.0,99.0
21,Developing,76.2,1,5.28,41.82275719,99.0,10,54.3,1,5.34,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5,103.5,99.0,99.0
22,Developing,76.1,1,5.79,348.0559517,98.0,0,53.5,1,5.79,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2,102.8,98.0,98.0
23,Developing,75.3,1,5.61,36.62206845,99.0,0,52.6,1,5.87,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0,102.2,99.0,99.0
24,Developing,75.9,1,5.58,32.24655228,98.0,22,51.7,1,6.1,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6,101.3,99.0,98.0
25,Developing,74.2,1,5.31,3.3021542,98.0,68,5.8,1,5.86,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4,100.7,97.0,97.0
26,Developing,73.5,1,5.16,26.99312143,98.0,6,49.9,1,6.12,0.1,279.14293100000003,311487.0,1.8,1.8,0.685,10.8,105.7,97.0,98.0
27,Developing,73.0,1,4.54,221.8428,99.0,7,48.9,1,6.38,0.1,2416.588235,326939.0,1.8,1.9,0.6809999999999999,10.9,101.3,98.0,97.0
28,Developing,72.8,1,4.29,14.71928882,97.0,8,47.9,1,6.27,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7,106.8,97.0,97.0
29,Developing,73.3,1,3.73,104.5169157,96.0,16,46.9,1,6.3,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7,102.3,98.0,98.0
30,Developing,73.6,1,4.25,96.20557078,96.0,18,46.0,1,6.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6,100.4,97.0,97.0
31,Developing,72.6,1,3.66,91.71154052,96.0,662,45.0,1,6.26,0.1,1175.7889810000001,38927.0,2.1,2.2,0.6559999999999999,10.7,106.1,97.0,97.0
33,Developing,75.4,21,0.01,54.2373183,95.0,0,58.4,24,7.21,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4,98.04,95.0,95.0
34,Developing,75.3,21,0.53,544.4507432,95.0,25,57.2,24,7.12,0.1,5471.866765999999,38338562.0,5.9,5.8,0.737,14.4,99.71,95.0,95.0
35,Developing,75.1,21,0.66,555.9260833999999,95.0,18,56.1,24,6.14,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4,101.5,95.0,95.0
36,Developing,74.9,21,0.56,509.0020405,95.0,112,55.0,24,5.29,0.1,5432.2523,36819558.0,5.9,5.8,0.7240000000000001,14.0,102.9,95.0,95.0
37,Developing,74.7,21,0.45,430.71758610000006,95.0,103,53.9,24,5.12,0.1,4463.394675,36117637.0,5.9,5.8,0.7140000000000001,13.6,104.4,95.0,95.0
38,Developing,74.4,20,0.5,352.0636419,94.0,107,52.8,23,5.36,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1,106.9,94.0,95.0
39,Developing,74.1,20,0.46,43.08717334,91.0,217,51.8,23,4.2,0.1,495.254866,3486715.0,6.0,5.9,0.6970000000000001,12.6,108.4,92.0,93.0
40,Developing,73.8,20,0.44,320.32392410000006,9.0,0,5.8,23,3.82,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3,111.3,95.0,95.0
41,Developing,73.4,20,0.36,270.24019619999996,8.0,944,49.8,23,3.36,0.1,3464.6179,33777915.0,6.1,6.0,0.6859999999999999,12.3,114.7,95.0,95.0
42,Developing,72.9,19,0.5,2.5489227580000002,83.0,2302,48.9,22,3.24,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0,119.3,88.0,88.0
43,Developing,72.3,19,0.45,220.39369900000003,81.0,3289,47.9,23,3.54,0.1,2598.9823,3283196.0,6.2,6.1,0.6729999999999999,11.7,125.1,86.0,86.0
49,Developing,51.7,67,8.33,23.965612,64.0,11699,22.7,101,3.31,2.0,479.31224000000003,2692466.0,8.5,8.3,0.527,11.4,243.9,55.0,55.0
50,Developing,51.1,69,8.1,35.95857279,77.0,8523,22.1,105,4.26,2.3,484.61688399999997,2599834.0,8.6,8.5,0.523,11.4,249.3,48.0,54.0
51,Developing,56.0,72,8.24,256.1225243,75.0,4458,21.5,110,3.3,2.6,4598.2499880000005,259615.0,8.8,8.6,0.508,10.3,253.2,54.0,53.0
52,Developing,51.0,75,8.06,239.89139210000002,72.0,1449,21.0,115,3.38,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4,260.1,50.0,52.0
53,Developing,49.6,78,7.8,191.6537407,77.0,1190,2.4,121,3.39,2.5,3529.5348200000003,23369131.0,9.1,9.0,0.488,9.0,269.7,56.0,51.0
54,Developing,49.1,81,7.01,212.92293250000003,61.0,2807,19.8,127,4.37,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5,281.0,36.0,50.0
55,Developing,48.7,84,7.07,249.9101958,69.0,265,19.3,133,3.84,2.6,3868.5788829999997,2175942.0,9.5,9.4,0.46799999999999997,8.1,292.2,36.0,49.0
56,Developing,48.2,87,6.35,184.8213446,73.0,1014,18.8,138,3.38,2.6,2878.837144,2997687.0,9.6,9.6,0.45399999999999996,7.7,302.8,43.0,48.0
81,Developing,76.2,8,7.93,847.3717462999999,94.0,1,62.2,9,4.79,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,112.8,92.0,94.0
82,Developing,76.0,8,8.28,1001.796332,94.0,0,61.6,10,4.99,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,116.5,90.0,94.0
83,Developing,75.9,9,8.35,1133.5580029999999,91.0,2,61.0,10,5.2,0.1,12969.7712,4296739.0,1.0,0.9,0.8220000000000001,17.2,117.7,90.0,91.0
84,Developing,75.7,9,8.11,1504.329462,91.0,3,6.4,10,5.89,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,117.9,93.0,91.0
85,Developing,75.5,10,8.15,187.61095500000002,94.0,17,59.8,11,6.55,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8,118.7,95.0,94.0
86,Developing,75.6,10,8.33,1398.042623,94.0,3,59.2,11,7.63,0.1,8161.369659999999,479947.0,1.0,0.9,0.794,16.5,123.1,97.0,94.0
87,Developing,75.4,10,8.41,1413.7354300000002,9.0,0,58.6,11,6.66,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3,123.5,94.0,93.0
88,Developing,74.8,10,8.16,1105.6590310000001,85.0,0,58.0,12,6.49,0.1,7193.61764,3997224.0,1.1,0.9,0.7879999999999999,16.3,126.3,92.0,91.0
89,Developing,75.2,11,7.75,961.1774676000001,84.0,0,57.5,12,6.68,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,124.2,92.0,91.0
90,Developing,74.9,11,7.53,96.16653429,88.0,0,56.9,12,6.85,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,124.9,95.0,98.0
91,Developing,74.7,11,7.63,719.3663797,81.0,0,56.3,12,6.84,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,127.8,91.0,98.0
92,Developing,74.1,11,7.62,57.58467352,73.0,0,55.7,13,8.22,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,134.4,95.0,96.0
93,Developing,74.1,12,7.81,470.18691449999994,66.0,0,55.1,13,8.31,0.1,2579.193168,3788937.0,1.2,1.0,0.7759999999999999,16.3,137.1,94.0,93.0
97,Developing,74.6,1,3.91,295.60871430000003,93.0,13,54.1,1,4.48,0.1,3994.7123549999997,29622.0,2.1,2.1,0.7390000000000001,12.7,118.5,95.0,93.0
98,Developing,74.4,1,3.79,279.4290812,95.0,10,53.3,1,4.55,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7,121.1,96.0,95.0
99,Developing,74.4,1,3.89,274.1526986,95.0,0,52.6,1,4.48,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7,130.6,96.0,95.0
100,Developing,73.9,1,4.09,260.9963826,95.0,0,51.9,1,3.71,0.1,3526.978143,2875581.0,2.0,2.1,0.7290000000000001,12.7,135.2,96.0,95.0
101,Developing,73.5,1,4.23,224.3212014,94.0,2,51.2,1,4.56,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3,137.9,96.0,94.0
102,Developing,73.3,1,3.96,201.18554609999998,93.0,0,5.7,1,4.55,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9,142.1,94.0,93.0
103,Developing,73.2,1,3.96,2.8888979,89.0,0,5.1,1,3.8,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3,144.3,91.0,89.0
104,Developing,73.5,1,3.99,44.57219966,85.0,1,49.7,1,4.31,0.1,3138.8873,293356.0,2.0,2.1,0.7070000000000001,11.7,136.8,90.0,88.0
105,Developing,72.9,1,4.01,244.5352767,78.0,137,49.2,1,4.58,0.1,2158.299,29585.0,2.0,2.1,0.6920000000000001,11.2,144.7,87.0,87.0
106,Developing,73.0,1,4.25,20.21822828,91.0,2281,48.8,1,5.25,0.1,1643.758397,2981259.0,2.0,2.1,0.679,10.9,139.7,92.0,90.0
107,Developing,73.0,1,3.81,97.74087744,91.0,1783,48.4,1,5.5,0.1,1191.96192,3612.0,2.0,2.1,0.6679999999999999,10.9,134.0,93.0,91.0
108,Developing,72.7,1,3.03,7.341493148,93.0,4,48.1,1,5.56,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8,136.7,96.0,94.0
109,Developing,72.6,1,2.86,57.17810403,91.0,40,47.8,1,5.4,0.1,783.261699,333897.0,2.1,2.1,0.645,10.8,136.9,96.0,94.0
110,Developing,72.6,1,2.86,53.19373012,69.0,69,47.4,1,5.94,0.1,694.435119,35655.0,2.1,2.1,0.644,11.1,143.2,97.0,94.0
111,Developing,72.0,1,2.9,32.75626853,55.0,15,47.1,1,6.25,0.1,622.7427477000001,369588.0,2.1,2.2,0.639,11.2,143.4,96.0,93.0
113,Developed,82.7,1,9.71,10769.36305,91.0,340,66.1,1,9.42,0.1,62214.6912,2346694.0,0.6,0.6,0.9359999999999999,20.4,61.19,92.0,92.0
114,Developed,82.5,1,9.87,11734.853809999999,91.0,158,65.5,1,9.36,0.1,67792.3386,23117353.0,0.6,0.6,0.9329999999999999,20.3,59.59,91.0,91.0
115,Developed,82.3,1,10.03,11714.99858,91.0,199,65.0,1,9.36,0.1,67677.63477,22728254.0,0.6,0.6,0.93,20.1,59.8,92.0,92.0
116,Developed,82.0,1,10.3,10986.26527,92.0,190,64.4,1,9.2,0.1,62245.129,223424.0,0.6,0.6,0.927,19.8,61.96,92.0,92.0
117,Developed,81.9,1,10.52,8875.786493000001,92.0,70,63.9,1,9.2,0.1,51874.848,223175.0,0.7,0.6,0.927,19.5,63.06,92.0,92.0
118,Developed,81.7,1,10.62,7172.275229000001,94.0,104,63.4,1,9.5,0.1,42742.998980000004,216917.0,0.7,0.6,0.925,19.1,64.77,92.0,92.0
119,Developed,81.3,1,10.76,8547.292356999998,94.0,65,62.9,1,8.78,0.1,49664.6854,212492.0,0.7,0.6,0.9209999999999999,19.1,64.38,92.0,92.0
120,Developed,81.3,1,10.56,872.5986092,94.0,11,62.5,2,8.53,0.1,4991.98289,28276.0,0.7,0.6,0.9179999999999999,19.0,65.11,92.0,92.0
121,Developed,81.2,1,10.31,6187.062017,95.0,0,62.0,2,8.49,0.1,36118.28381,26979.0,0.7,0.6,0.915,20.3,64.8,92.0,92.0
122,Developed,81.0,1,10.3,579.1331637,95.0,10,61.5,2,8.45,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3,68.13,92.0,92.0
123,Developed,86.0,1,9.84,588.568371,95.0,70,6.9,1,8.57,0.1,3472.3797700000005,21274.0,0.7,0.6,0.9079999999999999,20.7,67.45,92.0,92.0
124,Developed,83.0,1,9.97,3829.550928,95.0,91,6.3,1,8.32,0.1,23465.38559,198954.0,0.7,0.7,0.905,20.6,69.39,92.0,93.0
125,Developed,79.9,1,9.84,46.387181899999995,95.0,32,59.6,2,8.39,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1,71.69,92.0,92.0
126,Developed,79.9,1,9.53,3064.301144,94.0,141,59.0,2,8.18,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5,73.55,91.0,92.0
129,Developed,81.4,0,12.32,8350.193523,98.0,117,57.1,0,11.21,0.1,51322.63997,8541575.0,1.8,2.0,0.892,15.9,65.08,98.0,98.0
130,Developed,81.1,0,11.82,90.58501176,95.0,0,56.6,0,11.14,0.1,554.71532,8479375.0,1.8,2.0,0.887,15.7,66.55,95.0,95.0
131,Developed,88.0,0,12.26,7878.3723549999995,92.0,36,56.1,0,11.17,0.1,48333.57273,8429991.0,1.8,2.0,0.884,15.7,68.41,92.0,92.0
132,Developed,88.0,0,12.04,8272.306756999998,89.0,68,55.7,0,1.94,0.1,51126.741389999996,8391643.0,1.7,2.0,0.88,15.7,71.6,89.0,89.0
133,Developed,84.0,0,12.1,7423.228773999999,86.0,52,55.2,0,11.17,0.1,46657.629,836344.0,1.7,1.9,0.872,15.4,74.43,86.0,86.0
134,Developed,82.0,0,11.3,8053.557637999999,83.0,49,54.7,0,11.19,0.1,47654.187210000004,8343323.0,1.7,1.9,0.87,15.3,76.97,83.0,83.0
135,Developed,84.0,0,12.0,8329.731655,83.0,448,54.2,0,1.6,0.1,51386.37665,8321496.0,1.7,1.9,0.8640000000000001,15.1,76.0,83.0,83.0
136,Developed,81.0,0,12.5,7453.8644,85.0,20,53.7,0,1.4,0.1,46586.6525,8295487.0,1.7,1.9,0.86,15.2,79.77,85.0,85.0
137,Developed,79.8,0,12.4,69.92899358,83.0,23,53.2,0,1.35,0.1,443.99361,8268641.0,1.7,1.9,0.8540000000000001,15.0,80.45,83.0,83.0
138,Developed,79.4,0,12.4,5992.588029,86.0,9,52.7,0,1.53,0.1,38242.4252,8227829.0,1.7,1.9,0.848,14.9,83.7,86.0,86.0
139,Developed,79.3,0,12.1,5316.877456,83.0,15,52.2,0,1.56,0.1,36693.4262,8171966.0,1.7,1.9,0.841,14.7,83.9,83.0,83.0
140,Developed,78.8,0,12.2,504.4308735,83.0,90,51.7,0,1.48,0.1,3212.9355,8121423.0,1.7,1.9,0.8370000000000001,14.7,85.0,84.0,84.0
141,Developed,78.7,0,12.5,3979.057728,81.0,0,51.2,0,1.27,0.1,26351.37568,881957.0,1.7,1.9,0.847,16.1,87.4,82.0,83.0
142,Developed,78.6,0,12.4,3582.8483079999996,44.0,0,5.6,0,1.12,0.1,24489.73553,842293.0,1.7,1.9,0.8370000000000001,15.5,89.52,83.0,84.0
143,Developed,78.1,0,13.2,3557.455507,33.0,0,5.1,0,1.6,0.1,24517.26745,811566.0,1.7,1.9,0.833,15.4,93.72,71.0,81.0
145,Developing,72.5,5,0.01,306.1824313,94.0,0,51.5,6,6.4,0.1,7891.299776000001,953579.0,2.8,2.9,0.752,12.2,121.5,97.0,94.0
146,Developing,72.2,5,2.14,275.6514934,93.0,164,5.6,6,5.54,0.1,7875.756953,941681.0,2.8,2.8,0.745,11.9,123.7,96.0,93.0
147,Developing,71.9,5,0.01,285.6103912,88.0,0,49.7,6,5.37,0.1,7496.335728,9295784.0,2.8,2.8,0.742,11.8,126.4,92.0,89.0
148,Developing,71.6,5,1.98,263.14269900000005,84.0,0,48.8,6,5.1,0.1,7189.691229000001,917382.0,2.8,2.9,0.741,11.7,129.2,91.0,87.0
149,Developing,71.1,5,1.98,246.56860079999998,8.0,0,48.0,6,5.33,0.1,5842.85784,954332.0,2.8,2.9,0.737,11.7,131.8,85.0,81.0
150,Developing,78.0,6,2.1,22.48638351,74.0,0,47.3,6,5.85,0.1,495.29479100000003,8947243.0,2.8,2.9,0.728,11.6,133.0,84.0,81.0
151,Developing,73.0,6,1.18,206.26161340000002,68.0,5,46.6,6,4.37,0.1,5574.6382,87634.0,2.8,2.9,0.7190000000000001,11.6,142.1,85.0,81.0
152,Developing,73.0,6,1.02,176.01071059999998,62.0,0,45.9,7,5.1,0.1,3851.437869,85813.0,2.8,2.9,0.708,11.6,140.6,81.0,79.0
153,Developing,69.2,6,0.85,105.6337264,52.0,222,45.3,7,6.17,0.1,2473.8577600000003,848455.0,2.9,2.9,0.682,10.7,153.1,80.0,78.0
154,Developing,68.4,6,0.73,81.28883085,49.0,1238,44.7,7,7.86,0.1,1578.4239,839185.0,2.9,3.0,0.675,11.2,159.0,79.0,75.0
155,Developing,68.4,6,0.62,8.59680496,5.0,827,44.2,8,7.92,0.1,145.2163,8365.0,3.0,3.0,0.6679999999999999,11.0,151.1,78.0,77.0
156,Developing,67.8,7,0.55,42.41491183,51.0,1978,43.6,8,6.56,0.1,883.6439965,82341.0,3.0,3.0,0.659,10.8,150.9,79.0,77.0
157,Developing,67.8,7,0.55,39.33253687,5.0,4353,43.1,9,4.47,0.1,763.73858,817195.0,3.1,3.1,0.6509999999999999,10.6,143.7,80.0,76.0
193,Developing,71.4,98,0.01,10.44640334,97.0,289,17.7,121,2.82,0.1,184.56543,15945279.0,18.1,18.6,0.57,10.0,135.8,97.0,97.0
194,Developing,71.0,104,0.01,52.82986467,96.0,237,17.0,130,2.88,0.1,951.8894535000001,157571292.0,18.3,18.8,0.565,10.0,137.0,96.0,96.0
195,Developing,77.0,111,0.01,59.2589257,94.0,1986,16.4,139,3.8,0.1,856.342857,15572753.0,18.5,19.0,0.557,9.9,139.7,94.0,94.0
196,Developing,73.0,118,0.01,62.34988484,96.0,5625,15.8,150,3.16,0.1,835.789341,153911916.0,18.7,19.2,0.545,9.4,141.3,96.0,96.0
197,Developing,69.9,126,0.01,62.65945432,94.0,788,15.2,161,3.6,0.1,757.6717572000001,15214912.0,18.9,19.4,0.535,8.9,143.1,94.0,94.0
198,Developing,69.5,135,0.01,53.26400378,97.0,718,14.6,173,2.91,0.1,681.125368,1545478.0,19.1,19.7,0.523,8.4,144.0,97.0,97.0
199,Developing,69.1,144,0.01,42.48865034,96.0,2660,14.0,186,2.85,0.1,615.7775411,14885814.0,19.3,19.9,0.52,8.6,146.8,96.0,96.0
200,Developing,68.6,154,0.01,46.36536703,95.0,2924,13.5,201,2.8,0.1,541.651484,147139191.0,19.5,2.1,0.513,8.6,150.3,96.0,94.0
201,Developing,68.2,164,0.01,42.3304549,86.0,6192,13.0,215,2.8,0.1,494.51465999999994,1453684.0,19.7,2.3,0.506,8.4,151.4,95.0,94.0
202,Developing,67.8,174,0.01,38.05462002,45.0,25934,12.5,231,2.68,0.1,484.155471,14343111.0,19.9,2.5,0.499,8.2,154.5,94.0,93.0
203,Developing,67.3,185,0.01,4.11469667,11.0,9743,12.0,247,2.62,0.1,46.7579167,14137489.0,2.1,2.7,0.491,8.1,157.0,88.0,99.0
204,Developing,66.8,196,0.01,35.48458957,5.0,4067,11.6,264,2.51,0.1,432.7388972,139191.0,2.3,2.9,0.484,7.9,160.9,90.0,87.0
225,Developing,72.0,0,13.94,1147.1114,97.0,64,61.7,0,5.69,0.1,8318.429294,9474511.0,1.9,2.0,0.7959999999999999,15.7,174.0,97.0,97.0
226,Developing,71.7,0,14.66,1109.854619,98.0,16,61.1,1,6.7,0.1,7978.825443000001,9465997.0,2.0,2.0,0.7959999999999999,15.7,183.3,98.0,98.0
227,Developing,71.9,0,16.35,91.70962117,97.0,10,6.5,1,5.1,0.1,694.243915,9464495.0,2.0,2.1,0.7929999999999999,15.6,191.8,98.0,98.0
228,Developing,72.0,0,17.31,846.9113071,98.0,50,59.9,1,4.92,0.1,6519.71753,9473172.0,2.0,2.1,0.787,15.5,227.1,98.0,98.0
229,Developing,73.0,0,14.44,8.49409518,96.0,1,59.3,1,5.55,0.1,63.388769999999994,949583.0,2.0,2.2,0.78,15.5,225.5,99.0,98.0
230,Developing,70.0,0,14.09,434.79850250000004,98.0,0,58.7,1,6.9,0.1,5176.172649,956765.0,2.1,2.2,0.7709999999999999,15.4,225.2,98.0,96.0
231,Developing,70.0,1,14.67,501.80561409999996,98.0,0,58.2,1,5.95,0.1,6376.183153,9527985.0,2.1,2.3,0.755,15.1,228.2,98.0,97.0
232,Developing,69.8,1,14.22,464.077513,91.0,1,57.7,1,6.44,0.1,4735.484827,956953.0,2.2,2.3,0.7390000000000001,14.9,230.3,90.0,95.0
233,Developing,68.9,1,12.6,364.426052,98.0,149,57.2,1,6.34,0.1,3848.2159659999998,964924.0,2.2,2.4,0.723,14.6,246.1,97.0,99.0
234,Developing,68.1,1,11.01,45.65007798,99.0,1,56.7,1,6.89,0.1,3126.71767,9663915.0,2.3,2.5,0.713,14.4,254.0,98.0,99.0
235,Developing,68.2,1,12.05,42.33443901,99.0,2,56.2,1,6.59,0.1,2378.33927,973146.0,2.4,2.5,0.703,14.1,249.2,99.0,99.0
236,Developing,67.7,1,11.17,23.83578594,56.0,21,55.8,1,6.59,0.1,1819.525644,9796749.0,2.5,2.6,0.695,13.9,254.4,53.0,50.0
237,Developing,67.2,1,12.23,145.4233629,99.0,14,55.3,1,6.47,0.1,1479.383142,9865548.0,2.5,2.7,0.687,13.6,263.7,99.0,99.0
238,Developing,67.7,1,10.74,14.06141699,93.0,45,54.9,1,6.62,0.1,1244.373185,9928549.0,2.6,2.7,0.6809999999999999,13.3,254.8,99.0,99.0
239,Developing,68.0,1,12.98,24.24947846,7.0,21,54.4,1,6.13,0.1,1276.28834,997961.0,2.7,2.8,0.675,13.1,247.1,99.0,99.0
241,Developed,89.0,0,12.6,7163.3489230000005,98.0,70,63.4,1,1.59,0.1,47439.39684,112957.0,1.0,1.0,0.89,16.3,72.82,99.0,99.0
242,Developed,87.0,0,11.77,702.359357,98.0,39,63.0,1,1.57,0.1,4651.38647,11182817.0,1.0,0.9,0.889,16.3,76.55,99.0,99.0
243,Developed,83.0,0,10.08,664.4738974999999,98.0,109,62.6,1,1.54,0.1,4474.5717,11128246.0,0.9,0.9,0.8859999999999999,16.2,78.97,99.0,99.0
244,Developed,83.0,0,10.11,713.5297353999999,97.0,576,62.3,1,1.42,0.1,4772.77415,1147744.0,0.9,0.9,0.884,16.1,80.81,98.0,98.0
245,Developed,80.0,0,10.22,665.7356115,97.0,40,61.9,1,1.17,0.1,4438.23741,1895586.0,0.9,0.9,0.878,15.9,81.24,98.0,98.0
246,Developed,79.8,0,10.05,671.9376566000001,97.0,33,61.6,1,1.39,0.1,4488.5615,1796493.0,0.9,0.9,0.8759999999999999,15.8,84.17,98.0,98.0
247,Developed,79.5,0,10.47,7191.051506999999,98.0,98,61.3,1,9.6,0.1,48424.58927,179973.0,0.8,0.8,0.8740000000000001,15.8,85.99,99.0,99.0
248,Developed,79.5,0,10.25,640.3560918,94.0,64,6.9,1,9.25,0.1,4443.8313100000005,16257.0,0.8,0.8,0.871,15.8,85.75,99.0,98.0
249,Developed,79.4,0,10.98,5579.1990829999995,94.0,15,6.6,1,9.17,0.1,38852.3613,1547958.0,0.8,0.8,0.865,15.7,84.6,99.0,98.0
250,Developed,78.9,0,12.27,5068.2144880000005,77.0,26,6.2,1,9.24,0.1,36967.28292,1478617.0,0.8,0.8,0.861,15.7,88.15,97.0,97.0
251,Developed,78.8,1,12.05,5160.508378,64.0,61,59.8,1,9.32,0.1,35589.71295,1421137.0,0.8,0.8,0.88,18.8,89.46,96.0,95.0
252,Developed,78.3,0,11.28,507.30616399999997,64.0,44,59.4,1,9.3,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6,93.56,96.0,95.0
253,Developed,78.0,1,11.29,320.3177664,6.0,0,59.0,1,8.46,0.1,2552.3328,1332785.0,0.8,0.8,0.875,18.8,96.58,96.0,95.0
254,Developed,78.0,1,11.01,2943.375396,6.0,83,58.5,1,8.29,0.1,23121.56635,128657.0,0.8,0.8,0.873,18.2,98.11,96.0,95.0
255,Developed,77.6,1,11.21,287.20845289999994,6.0,0,58.1,1,8.12,0.1,2327.4591,125125.0,0.8,0.8,0.8690000000000001,18.0,99.35,96.0,95.0
